arm,kind,rho,local_kind,metric,quantile_weight,minimum_gradient_agreement,minimum_ascent_cosine,minimum_signal_to_null,maximum_correction_ratio,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,safety_robust_ascent_fraction,safety_intervention_fraction,safety_cap_rejected_fraction,safety_local_rejected_fraction,median_correction_metric_norm,p90_correction_metric_norm,median_correction_ratio,p90_correction_ratio,median_gradient_cosine,median_proposal_cosine,median_safety_ascent_cosine,median_safety_signal_to_null,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.17064871249877167,0.6135676866421507,0.7714385292366799,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.2357927999983076
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.17064871249877167,0.6135676866421507,0.7714385292366799,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30188047152067854,nan,-0.6123182994009532,1.2264246904842953,-0.016433090885259183,-0.0019781291416759664,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.33666299999458715
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.17064871249877167,0.6135676866421507,0.7714385292366799,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30188047152067854,nan,-0.6123182994009532,1.2264246904842953,-0.016433090885259183,-0.0019781291416759664,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.44215829999302514
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.17064871249877167,0.6135676866421507,0.7714385292366799,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30188047152067854,nan,-0.6123182994009532,1.2264246904842953,-0.016433090885259183,-0.0019781291416759664,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.5556761999905575
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.2125907754289451,0.668180964830022,0.9235569320830443,0.8980000000000002,0.33253125,0.16626562499999992,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.0,0.0,-0.1229868496271993,-0.19334401565289783,60,1,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,12.0,3584.0,3584.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.1994985000055749
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.2125907754289451,0.668180964830022,0.9235569320830443,0.8980000000000002,0.33253125,0.16626562499999992,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.0,0.0,-0.1229868496271993,-0.19334401565289783,60,1,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37319735940535304,nan,-0.6101936869824645,1.3079902604437477,-0.006517484276005662,-0.0008383921645256135,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,12.0,3584.0,3584.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.26612400001613423
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.2125907754289451,0.668180964830022,0.9235569320830443,0.8980000000000002,0.33253125,0.16626562499999992,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.0,0.0,-0.1229868496271993,-0.19334401565289783,60,1,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37319735940535304,nan,-0.6101936869824645,1.3079902604437477,-0.006517484276005662,-0.0008383921645256135,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,12.0,3584.0,3584.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.3304747999936808
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.2125907754289451,0.668180964830022,0.9235569320830443,0.8980000000000002,0.33253125,0.16626562499999992,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.0,0.0,-0.1229868496271993,-0.19334401565289783,60,1,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37319735940535304,nan,-0.6101936869824645,1.3079902604437477,-0.006517484276005662,-0.0008383921645256135,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,12.0,3584.0,3584.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.40157089999411255
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04138932054901234,0.41366717577302425,0.5096820588324515,0.9750000000000001,0.22281250000000005,0.07023437499999999,0.05062113455508532,0.4657905979662324,0.5707760645517858,0.9750000000000001,0.2657812500000001,0.07999999999999999,0.0851601540121707,0.6108184831446933,0.716039601015775,0.7350000000000002,0.445,0.10539062499999999,-0.034539019457085374,-0.14502788517846094,-0.043770833463158354,-0.19715130737166908,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.23868949999450706
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04138932054901234,0.41366717577302425,0.5096820588324515,0.9750000000000001,0.22281250000000005,0.07023437499999999,0.05062113455508532,0.4657905979662324,0.5707760645517858,0.9750000000000001,0.2657812500000001,0.07999999999999999,0.0851601540121707,0.6108184831446933,0.716039601015775,0.7350000000000002,0.445,0.10539062499999999,-0.034539019457085374,-0.14502788517846094,-0.043770833463158354,-0.19715130737166908,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838619783976702,nan,-0.6165154096719508,1.2762887607339912,-0.003130220945638324,-0.00024193437256172753,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.3370424000022467
