arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,16.0,0.016,0.03949822941799663,0.1358493166485532,0.18523516427096973,0.9705049395561218,2.5889666424647158,1.0,0.0556640625,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6177165000044624,0.0,2048,4740
minibatch-sw,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,16.0,0.016,0.08208344019369829,0.18996389243507647,0.23869429597125694,0.883398711681366,2.3531283407016343,1.0,0.1318359375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8496872000032454,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,32.0,0.032,0.08297986538627722,0.20476108746688765,0.26543911992842645,1.0092536211013794,2.772097078525507,1.0,0.1005859375,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.25110660000063945,0.08822800000052666,2048,4740
kll-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,32.0,0.032,0.07633314947601111,0.19694673077772543,0.2567957656250878,1.010269284248352,2.790764296863625,1.0,0.07421875,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.22416180000436725,0.06701189999876078,2048,4740
kll-small-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,16.0,0.016,0.06421565677785068,0.18007422801659353,0.22496769562036942,0.9477591514587402,2.449697578624569,1.0,0.11328125,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.38481789999786997,0.06701189999876078,2048,4740
kll-paper-hybrid,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,32.0,0.032,0.07913135475905975,0.19865699346735943,0.259456869982345,1.0267013311386108,2.320582788252587,1.0,0.1982421875,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.7268934000021545,0.06701189999876078,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,nan,nan,0.003219934964881599,0.03812747438461326,0.05424995632598625,0.9984703871214932,2.6352688046053445,1.0,0.01953125,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.2048808999970788,0.08822800000052666,0,0
paper-neural,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,broad,16.0,0.016,0.02460275149879898,0.10367269930819374,0.14037668052563915,1.0318490266799927,2.452402715797385,1.0,0.044921875,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6117958000031649,0.0,2048,4740
minibatch-sw,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,broad,16.0,0.016,0.07183185946527715,0.185726764241921,0.22776063854743936,0.9449188709259033,2.320059726668009,1.0,0.0615234375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8866639999978361,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,broad,32.0,0.032,0.08992044868749716,0.20069840117880755,0.2521795835136068,0.9578707218170166,2.2349513836348427,1.0,0.154296875,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.23841649999667425,0.08822800000052666,2048,4740
